Node ID,Node Title,Centrality Authority/resource x resource,Centrality Betweenness/resource x resource,Centrality Betweenness/resource x resource/[unscaled],Clique Count/resource x resource,Centrality Closeness/resource x resource,Centrality Closeness/resource x resource/[unscaled],Density Clustering Coefficient/resource x resource,Centrality Eigenvector/resource x resource,Centrality Eigenvector/resource x resource/[unscaled],Centrality Eigenvector Per Component/resource x resource,Centrality Hub/resource x resource,Centrality In-Closeness/resource x resource,Centrality In-Closeness/resource x resource/[unscaled],Centrality In Degree/resource x resource,Centrality In Degree/resource x resource/[unscaled],Centrality Information/resource x resource,Centrality Information/resource x resource/[unscaled],Centrality Inverse Closeness/resource x resource,Centrality Inverse Closeness/resource x resource/[unscaled],Centrality Out Degree/resource x resource,Centrality Out Degree/resource x resource/[unscaled],Simmelian Ties/resource x resource,Simmelian Ties/resource x resource/[unscaled],Centrality Total Degree/resource x resource,Centrality Total Degree/resource x resource/[unscaled],Component Members Weak/resource x resource,
89,Perfectly Legal,0.1653,0.0002,0.8167,2.0000,0.3114,0.0030,0.8667,-0.1653,-0.1169,-0.1169,0.1653,0.3114,0.0030,0.0577,6.0000,0.0091,2.3047,0.3793,39.4500,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
90,Hegemony or Survival,0.1074,0.0010,5.5455,3.0000,0.3068,0.0029,0.5000,-0.1074,-0.0760,-0.0760,0.1074,0.3068,0.0029,0.0481,5.0000,0.0085,2.1339,0.3681,38.2833,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
91,The Exception to the Rulers,0.1609,0.0040,21.2153,6.0000,0.3104,0.0030,0.4286,-0.1609,-0.1138,-0.1138,0.1609,0.3104,0.0030,0.0769,8.0000,0.0101,2.5422,0.3796,39.4833,0.0769,8.0000,0.0769,8.0000,0.0769,8.0000,1.0000,
92,Freethinkers,0.0939,0.0000,0.0000,1.0000,0.3006,0.0029,1.0000,-0.0939,-0.0664,-0.0664,0.0939,0.3006,0.0029,0.0288,3.0000,0.0066,1.6675,0.3526,36.6667,0.0288,3.0000,0.0288,3.0000,0.0288,3.0000,1.0000,
93,Had Enough?,0.1466,0.0152,81.3787,4.0000,0.3467,0.0033,0.5238,-0.1466,-0.1037,-0.1037,0.1466,0.3467,0.0033,0.0673,7.0000,0.0097,2.4404,0.4069,42.3167,0.0673,7.0000,0.0673,7.0000,0.0673,7.0000,1.0000,
94,"It's Still the Economy, Stupid!",0.1065,0.0128,68.7054,6.0000,0.3161,0.0030,0.3810,-0.1065,-0.0753,-0.0753,0.1065,0.3161,0.0030,0.0673,7.0000,0.0092,2.3196,0.3750,39.0000,0.0673,7.0000,0.0673,7.0000,0.0673,7.0000,1.0000,
95,We're Right They're Wrong,0.0480,0.0071,38.0657,2.0000,0.3068,0.0029,0.3333,-0.0480,-0.0340,-0.0340,0.0480,0.3068,0.0029,0.0385,4.0000,0.0070,1.7686,0.3502,36.4167,0.0385,4.0000,0.0288,3.0000,0.0385,4.0000,1.0000,
96,What Liberal Media?,0.1385,0.0007,3.9618,3.0000,0.2997,0.0029,0.7333,-0.1385,-0.0979,-0.0979,0.1385,0.2997,0.0029,0.0577,6.0000,0.0090,2.2743,0.3700,38.4833,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
97,The Clinton Wars,0.1408,0.0006,3.3474,3.0000,0.2873,0.0028,0.7333,-0.1408,-0.0995,-0.0995,0.1408,0.2873,0.0028,0.0577,6.0000,0.0090,2.2584,0.3630,37.7500,0.0577,6.0000,0.0577,6.0000,0.0577,6.0000,1.0000,
98,Weapons of Mass Deception,0.1047,0.0004,1.9434,5.0000,0.2680,0.0026,0.5000,-0.1047,-0.0740,-0.0740,0.1047,0.2680,0.0026,0.0481,5.0000,0.0083,2.0847,0.3360,34.9429,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
99,"Dude, Where's My Country?",0.2194,0.0397,212.6378,7.0000,0.3302,0.0032,0.3939,-0.2194,-0.1552,-0.1552,0.2194,0.3302,0.0032,0.1154,12.0000,0.0111,2.7906,0.4228,43.9667,0.1154,12.0000,0.1154,12.0000,0.1154,12.0000,1.0000,
100,Thieves in High Places,0.2228,0.0071,38.1282,10.0000,0.2946,0.0028,0.3333,-0.2228,-0.1576,-0.1576,0.2228,0.2946,0.0028,0.1154,12.0000,0.0113,2.8450,0.3966,41.2500,0.1154,12.0000,0.1154,12.0000,0.1154,12.0000,1.0000,
101,Shrub,0.0883,0.0009,5.0490,3.0000,0.2857,0.0027,0.5000,-0.0883,-0.0625,-0.0625,0.0883,0.2857,0.0027,0.0481,5.0000,0.0081,2.0453,0.3463,36.0167,0.0481,5.0000,0.0481,5.0000,0.0481,5.0000,1.0000,
102,Buck Up Suck Up,0.0278,0.0410,219.5693,2.0000,0.3291,0.0032,0.3333,-0.0278,-0.0197,-0.0197,0.0278,0.3291,0.0032,0.0385,4.0000,0.0071,1.7995,0.3590,37.3333,0.0385,4.0000,0.0288,3.0000,0.0385,4.0000,1.0000,
103,The Future of Freedom,0.0066,0.0000,0.0000,1.0000,0.2436,0.0023,1.0000,-0.0066,-0.0047,-0.0047,0.0066,0.2436,0.0023,0.0192,2.0000,0.0039,0.9930,0.2761,28.7095,0.0192,2.0000,0.0192,2.0000,0.0192,2.0000,1.0000,
104,Empire,0.0081,0.0015,8.0966,1.0000,0.2674,0.0026,0.3333,-0.0081,-0.0057,-0.0057,0.0081,0.2674,0.0026,0.0288,3.0000,0.0051,1.2750,0.2994,31.1333,0.0288,3.0000,0.0192,2.0000,0.0288,3.0000,1.0000,

,GINI-COEFFICIENT,0.4772,0.6841,0.6841,0.5171,0.0684,0.0684,0.2472,0.4772,0.4772,0.4772,0.4772,0.0684,0.0684,0.3280,0.3280,0.1223,0.1223,0.0708,0.0708,0.3280,0.3280,0.3552,0.3552,0.3280,0.3280,0.0000,
,HERFINDAHL-INDEX,0.0090,0.0197,0.0197,0.0116,0.0001,0.0001,0.0019,0.0090,0.0090,0.0090,0.0090,0.0001,0.0001,0.0040,0.0040,0.0004,0.0004,0.0002,0.0002,0.0040,0.0040,0.0046,0.0046,0.0040,0.0040,0.0000,
,BRILLOUIN-INDEX,1.0000,0.9900,0.9900,0.6377,0.9343,0.9343,0.8316,1.0000,1.0000,1.0000,1.0000,0.9343,0.9343,0.6330,0.6330,1.0000,1.0000,0.9964,0.9964,0.6330,0.6330,0.6571,0.6571,0.6330,0.6330,0.0000,
