ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-9042N|refseq:NP_311207|uniprotkb:P0A6A3	DIP-10603N|refseq:NP_416911|uniprotkb:P08839	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:3020035|pubmed:DIP-2474S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18629E	dip-quality-status:core	dip:0002(small scale)		-
DIP-11075N|refseq:NP_418275|uniprotkb:P12758	DIP-11075N|refseq:NP_418275|uniprotkb:P12758	-	-	-	-	MI:0071(molecular sieving)|MI:0071(molecular sieving)|MI:0040(electron microscopy)|MI:0028(cosedimentation in solution)|MI:0040(electron microscopy)	-	pubmed:1747419|pubmed:DIP-4298S|pubmed:3546298|pubmed:DIP-4299S|pubmed:1747419|pubmed:DIP-4298S|pubmed:16751|pubmed:DIP-2475S|pubmed:1610370|pubmed:DIP-2476S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18630E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-9154N|refseq:NP_417092|uniprotkb:P00888	DIP-9154N|refseq:NP_417092|uniprotkb:P00888	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:9387|pubmed:DIP-2477S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18631E	dip-quality-status:core	dip:0002(small scale)		-
DIP-10917N|refseq:NP_417185|uniprotkb:P05707	DIP-10917N|refseq:NP_417185|uniprotkb:P05707	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:6384188|pubmed:DIP-2479S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18633E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9918N|refseq:NP_287482|uniprotkb:P08936	DIP-9918N|refseq:NP_287482|uniprotkb:P08936	-	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0071(molecular sieving)	-	pubmed:9398522|pubmed:DIP-2481S|pubmed:15458420|pubmed:DIP-4148S|pubmed:9398522|pubmed:DIP-2481S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18635E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-16999N|uniprotkb:P07375	DIP-17002N|uniprotkb:P07376	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9488676|pubmed:DIP-2490S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18637E	dip-quality-status:core	dip:0002(small scale)		-
DIP-17002N|uniprotkb:P07376	DIP-17002N|uniprotkb:P07376	-	-	-	-	MI:0071(molecular sieving)|MI:0018(two hybrid)	-	pubmed:9488676|pubmed:DIP-2490S|pubmed:9488676|pubmed:DIP-2490S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18638E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-6887N|refseq:NP_311583|uniprotkb:P03017	DIP-17002N|uniprotkb:P07376	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9488676|pubmed:DIP-2490S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18639E	dip-quality-status:core	dip:0002(small scale)		-
DIP-364N|refseq:NP_313068|uniprotkb:P02339	DIP-17002N|uniprotkb:P07376	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9488676|pubmed:DIP-2490S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18640E	dip-quality-status:core	dip:0002(small scale)		-
DIP-16999N|uniprotkb:P07375	DIP-364N|refseq:NP_313068|uniprotkb:P02339	 -	-	-	-	MI:0018(two hybrid)|MI:0029(cosedimentation through density gradient)	-	pubmed:9488676|pubmed:DIP-2490S|pubmed:9488676|pubmed:DIP-2490S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18641E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-10928N|refseq:NP_415455|uniprotkb:P80645	DIP-10928N|refseq:NP_415455|uniprotkb:P80645	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)	-	pubmed:12445781|pubmed:DIP-2492S|pubmed:10480865|pubmed:DIP-2493S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18642E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-10929N|refseq:NP_415457|uniprotkb:P80644	DIP-10929N|refseq:NP_415457|uniprotkb:P80644	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:10480865|pubmed:DIP-2493S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18643E	dip-quality-status:core	dip:0002(small scale)		-
DIP-10966N|refseq:NP_414902|uniprotkb:P37610	DIP-10966N|refseq:NP_414902|uniprotkb:P37610	-	-	-	-	MI:0071(molecular sieving)|MI:0655(lambda repressor two hybrid)	-	pubmed:9287300|pubmed:DIP-2494S|pubmed:14973045|pubmed:DIP-4182S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18644E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-2198N|refseq:NP_290376|uniprotkb:P68699	DIP-567N|refseq:NP_418187|uniprotkb:P00832	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:7592682|pubmed:DIP-2496S|pubmed:10358051|pubmed:DIP-2495S|pubmed:10567396|pubmed:DIP-2497S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18645E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-2198N|refseq:NP_290376|uniprotkb:P68699	DIP-9194N|refseq:NP_290375|uniprotkb:P00859	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10882728|pubmed:DIP-2500S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-18646E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6122N|refseq:NP_290377|uniprotkb:P00855	DIP-9194N|refseq:NP_290375|uniprotkb:P00859	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:10747904|pubmed:DIP-2503S|pubmed:6315730|pubmed:DIP-2356S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18648E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-565N|refseq:NP_290371|uniprotkb:P00824	DIP-6122N|refseq:NP_290377|uniprotkb:P00855	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:6315730|pubmed:DIP-2356S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-18649E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9194N|refseq:NP_290375|uniprotkb:P00859	DIP-565N|refseq:NP_290371|uniprotkb:P00824	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:6315730|pubmed:DIP-2356S|pubmed:10747904|pubmed:DIP-2503S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18650E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-564N|refseq:NP_290373|uniprotkb:P00822	DIP-9194N|refseq:NP_290375|uniprotkb:P00859	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10747904|pubmed:DIP-2503S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-18651E	dip-quality-status:core	dip:0002(small scale)		-
DIP-564N|refseq:NP_290373|uniprotkb:P00822	DIP-564N|refseq:NP_290373|uniprotkb:P00822	-	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:2868692|pubmed:DIP-4253S|pubmed:6995107|pubmed:DIP-4310S|pubmed:9195980|pubmed:DIP-2505S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18653E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-10775N|refseq:NP_290009|uniprotkb:P00580	DIP-9460N|refseq:NP_414556|uniprotkb:P08622	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0107(surface plasmon resonance)|MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)	-	pubmed:7603976|pubmed:DIP-2509S|pubmed:10369787|pubmed:DIP-3987S|pubmed:8599944|pubmed:DIP-3986S|pubmed:8599944|pubmed:DIP-3986S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18657E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-10775N|refseq:NP_290009|uniprotkb:P00580	DIP-6142N|refseq:NP_285706|uniprotkb:P04475	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0071(molecular sieving)|MI:0676(tandem affinity purification)	-	pubmed:10369787|pubmed:DIP-3987S|pubmed:7603976|pubmed:DIP-2509S|pubmed:8599944|pubmed:DIP-3986S|pubmed:7603976|pubmed:DIP-2509S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-18658E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-9460N|refseq:NP_414556|uniprotkb:P08622	DIP-6142N|refseq:NP_285706|uniprotkb:P04475	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)|MI:0107(surface plasmon resonance)|MI:0401(biochemical)|MI:0676(tandem affinity purification)	-	pubmed:7603976|pubmed:DIP-2509S|pubmed:8599944|pubmed:DIP-3986S|pubmed:10521435|pubmed:DIP-4302S|pubmed:10369787|pubmed:DIP-3987S|pubmed:10369787|pubmed:DIP-3987S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-18659E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-9702N|refseq:NP_285780|uniprotkb:P04286	DIP-9700N|refseq:NP_285790|uniprotkb:P06137	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:14663069|pubmed:DIP-4011S|pubmed:15774864|pubmed:DIP-4210S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45047E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-9706N|refseq:NP_414635|uniprotkb:P06136	DIP-9706N|refseq:NP_414635|uniprotkb:P06136	-	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15774864|pubmed:DIP-4210S|pubmed:14663069|pubmed:DIP-4011S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45048E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-10843N|refseq:NP_290612|uniprotkb:P16920	DIP-10840N|refseq:NP_414640|uniprotkb:P10408	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:12771143|pubmed:DIP-4022S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-45079E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27645N|uniprotkb:P03856	DIP-27645N|uniprotkb:P03856	-	-	-	-	MI:0013(biophysical)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0030(cross-linking study)|MI:0071(molecular sieving)|MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)	-	pubmed:8170998|pubmed:DIP-4122S|pubmed:8170998|pubmed:DIP-4122S|pubmed:15013418|pubmed:DIP-4027S|pubmed:15013418|pubmed:DIP-4027S|pubmed:8170998|pubmed:DIP-4122S|pubmed:9398513|pubmed:DIP-4028S|pubmed:8170998|pubmed:DIP-4122S|pubmed:9398513|pubmed:DIP-4028S|pubmed:15013418|pubmed:DIP-4027S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45083E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-9461N|refseq:NP_290334|uniprotkb:P00583	DIP-9464N|refseq:NP_415003|uniprotkb:P06710	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0401(biochemical)|MI:0019(coimmunoprecipitation)	-	pubmed:11572866|pubmed:DIP-4110S|pubmed:330531|pubmed:DIP-4040S|pubmed:6776124|pubmed:DIP-4041S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45104E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-10440N|refseq:NP_289596|uniprotkb:P20082	DIP-10441N|refseq:NP_417502|uniprotkb:P20083	 -	-	-	-	MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)	-	pubmed:8227000|pubmed:DIP-4074S|pubmed:8227000|pubmed:DIP-4074S|pubmed:12939258|pubmed:DIP-4068S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-45166E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-27654N|uniprotkb:P27187	DIP-27655N|uniprotkb:P18033	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10564517|pubmed:DIP-4070S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45168E	dip-quality-status:core	dip:0002(small scale)		-
DIP-10794N|refseq:NP_313205|uniprotkb:P02374	DIP-10559N|refseq:NP_417367|uniprotkb:P07012	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:6802827|pubmed:DIP-4139S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-45256E	dip-quality-status:core	dip:0002(small scale)		-
DIP-10934N|refseq:NP_289219|uniprotkb:P30017	DIP-10934N|refseq:NP_289219|uniprotkb:P30017	-	-	-	-	MI:0030(cross-linking study)	-	pubmed:11244076|pubmed:DIP-4149S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-45286E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9771N|refseq:NP_417886|uniprotkb:P13031	DIP-9771N|refseq:NP_417886|uniprotkb:P13031	-	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:9334229|pubmed:DIP-4025S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45081E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27653N|uniprotkb:P10026	DIP-27653N|uniprotkb:P10026	-	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0071(molecular sieving)	-	pubmed:15509578|pubmed:DIP-4072S|pubmed:15509578|pubmed:DIP-4072S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45170E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-10441N|refseq:NP_417502|uniprotkb:P20083	DIP-27657N|uniprotkb:P22995	 -	-	-	-	MI:0401(biochemical)|MI:0030(cross-linking study)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0004(affinity chromatography technology)	-	pubmed:8631720|pubmed:DIP-4073S|pubmed:8631720|pubmed:DIP-4073S|pubmed:8631720|pubmed:DIP-4073S|pubmed:8631720|pubmed:DIP-4073S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45171E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-6875N|refseq:NP_290617|uniprotkb:P02392	DIP-10794N|refseq:NP_313205|uniprotkb:P02374	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:8722010|pubmed:DIP-4252S|pubmed:9430711|pubmed:DIP-4129S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-45213E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-11103N|refseq:NP_418258|uniprotkb:P03018	DIP-11103N|refseq:NP_418258|uniprotkb:P03018	-	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:12527298|pubmed:DIP-3979S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45022E	dip-quality-status:core	dip:0002(small scale)		-
DIP-10816N|refseq:NP_288300|uniprotkb:P24239	DIP-10816N|refseq:NP_288300|uniprotkb:P24239	-	-	-	-	MI:0071(molecular sieving)|MI:0071(molecular sieving)	-	pubmed:8106500|pubmed:DIP-3982S|pubmed:1661673|pubmed:DIP-3981S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45023E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1158N|refseq:NP_285791|uniprotkb:P06138	DIP-10214N|refseq:NP_415694|uniprotkb:P18196	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0004(affinity chromatography technology)|MI:0028(cosedimentation in solution)	-	pubmed:12003935|pubmed:DIP-3984S|pubmed:10611296|pubmed:DIP-3983S|pubmed:10611296|pubmed:DIP-3983S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45024E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-6888N|refseq:NP_287414|uniprotkb:P18197	DIP-10215N|refseq:NP_287413|uniprotkb:P18198	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:12897015|pubmed:DIP-3985S|pubmed:15458408|pubmed:DIP-4172S|pubmed:15458408|pubmed:DIP-4172S|pubmed:12897015|pubmed:DIP-3985S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45026E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-9460N|refseq:NP_414556|uniprotkb:P08622	DIP-6141N|refseq:NP_417104|uniprotkb:P09372	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:8599944|pubmed:DIP-3986S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45027E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6141N|refseq:NP_417104|uniprotkb:P09372	DIP-10775N|refseq:NP_290009|uniprotkb:P00580	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:8599944|pubmed:DIP-3986S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45028E	dip-quality-status:core	dip:0002(small scale)		-
DIP-539N|refseq:NP_290666|uniprotkb:P07622	DIP-10142N|refseq:NP_418457|uniprotkb:P02916	 -	-	-	-	MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0226(ion exchange chromatography)	-	pubmed:2026607|pubmed:DIP-3989S|pubmed:2026607|pubmed:DIP-3989S|pubmed:2026607|pubmed:DIP-3989S|pubmed:8226895|pubmed:DIP-3990S|pubmed:2026607|pubmed:DIP-3989S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45029E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-9784N|refseq:NP_290494|uniprotkb:P0AFB5	DIP-9783N|refseq:NP_286192|uniprotkb:P38504	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12838411|pubmed:DIP-3991S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45030E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9781N|refseq:NP_312817|uniprotkb:P0AFB8	DIP-9784N|refseq:NP_290494|uniprotkb:P0AFB5	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:12838411|pubmed:DIP-3991S|pubmed:15522865|pubmed:DIP-4245S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-45031E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-9180N|refseq:NP_418562|uniprotkb:P04422	DIP-9784N|refseq:NP_290494|uniprotkb:P0AFB5	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12838411|pubmed:DIP-3991S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45032E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9784N|refseq:NP_290494|uniprotkb:P0AFB5	DIP-9784N|refseq:NP_290494|uniprotkb:P0AFB5	-	-	-	-	MI:0018(two hybrid)	-	pubmed:12838411|pubmed:DIP-3991S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45033E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9346N|refseq:NP_415106|uniprotkb:P77239	DIP-9350N|refseq:NP_415105|uniprotkb:P77214	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12813074|pubmed:DIP-3992S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45034E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9350N|refseq:NP_415105|uniprotkb:P77214	DIP-9347N|refseq:NP_415104|uniprotkb:P77211	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12813074|pubmed:DIP-3992S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45035E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6848N|refseq:NP_418376|uniprotkb:P0AEZ1	DIP-6848N|refseq:NP_418376|uniprotkb:P0AEZ1	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:9922232|pubmed:DIP-3993S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45036E	dip-quality-status:core	dip:0002(small scale)		-
DIP-10206N|refseq:NP_286091|uniprotkb:P0ABR9	DIP-10206N|refseq:NP_286091|uniprotkb:P0ABR9	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:8399388|pubmed:DIP-3995S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)	MI:0465(dip)	DIP-45037E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9456N|refseq:NP_418476|uniprotkb:P0ACB0	DIP-9464N|refseq:NP_415003|uniprotkb:P06710	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:11078744|pubmed:DIP-3998S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-45038E	dip-quality-status:core	dip:0002(small scale)		-
DIP-9232N|refseq:NP_418401|uniprotkb:P06129	DIP-9232N|refseq:NP_418401|uniprotkb:P06129	-	-	-	-	MI:0030(cross-linking study)	-	pubmed:11029413|pubmed:DIP-4001S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)	MI:0465(dip)	DIP-45039E	dip-quality-status:core	dip:0002(small scale)		-
