ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-29202N|uniprotkb:O16000	DIP-29205N|refseq:NP_112253|uniprotkb:P60881	 -	-	-	-	MI:0400(affinity technology)	-	pubmed:16895441|pubmed:DIP-4476S	taxid:6239(Caenorhabditis elegans)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-57224E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29640N|refseq:NP_492371|uniprotkb:Q21443	DIP-29640N|refseq:NP_492371|uniprotkb:Q21443	-	-	-	-	MI:0040(electron microscopy)|MI:0028(cosedimentation in solution)	-	pubmed:18162544|pubmed:DIP-4655S|pubmed:18162544|pubmed:DIP-4655S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-59127E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-250N|refseq:NP_499284|uniprotkb:P41958	DIP-244N|refseq:NP_502538|uniprotkb:P42573	 -	-	-	-	MI:0435(protease assay)	-	pubmed:18776901|pubmed:DIP-12394S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0194(cleavage reaction)	MI:0465(dip)	DIP-63366E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38923N|uniprotkb:Q21955	DIP-24367N|refseq:NP_499472|uniprotkb:Q9XX00	 -	-	-	-	MI:0096(pull down)	-	pubmed:16799563|pubmed:DIP-7344S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-67426E	dip-quality-status:core	dip:0004(small scale)		-
DIP-32908N|uniprotkb:Q96RN5	DIP-24367N|refseq:NP_499472|uniprotkb:Q9XX00	 -	-	-	-	MI:0096(pull down)	-	pubmed:16799563|pubmed:DIP-7344S	taxid:9606(Homo sapiens)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-67430E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24440N|refseq:NP_492552|uniprotkb:P90916	DIP-27251N|refseq:NP_498543|uniprotkb:Q23482	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17075059|pubmed:DIP-17321S|pubmed:17075059|pubmed:DIP-17321S|pubmed:17075059|pubmed:DIP-17321S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-81712E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-25208N|refseq:NP_499007|uniprotkb:P14585	DIP-46050N|refseq:NP_510823|uniprotkb:O45346	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:18700817|pubmed:DIP-11427S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-87794E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46052N|refseq:NP_500054|uniprotkb:O45201	DIP-25208N|refseq:NP_499007|uniprotkb:P14585	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:18700817|pubmed:DIP-11427S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-87795E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46051N|refseq:NP_503877|uniprotkb:P45442	DIP-25208N|refseq:NP_499007|uniprotkb:P14585	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:18700817|pubmed:DIP-11427S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-87796E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46293N|refseq:NP_499043|uniprotkb:Q03614	DIP-29202N|uniprotkb:O16000	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:18768815|pubmed:DIP-11635S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-88223E	dip-quality-status:core	dip:0004(small scale)		-
DIP-25581N|refseq:NP_492815|uniprotkb:O16850	DIP-46339N|refseq:NP_501279|uniprotkb:Q18654	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18828672|pubmed:DIP-11666S|pubmed:18828672|pubmed:DIP-11666S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-88303E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48373N|refseq:NP_493011|uniprotkb:Q9XWE0	DIP-244N|refseq:NP_502538|uniprotkb:P42573	 -	-	-	-	MI:0096(pull down)|MI:0435(protease assay)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18776901|pubmed:DIP-12394S|pubmed:18776901|pubmed:DIP-12394S|pubmed:18776901|pubmed:DIP-12394S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-102635E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48409N|refseq:NP_509778|uniprotkb:P03949	DIP-25719N|refseq:NP_498224|uniprotkb:Q10929	 -	-	-	-	MI:0096(pull down)	-	pubmed:19402756|pubmed:DIP-12418S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-102836E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40151N|uniprotkb:P92186	DIP-48653N|refseq:NP_498100|uniprotkb:Q09408	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:19713957|pubmed:DIP-12627S|pubmed:19713957|pubmed:DIP-12627S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103356E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-41257N|refseq:NP_492217|uniprotkb:Q21227	DIP-25408N|refseq:NP_500105|uniprotkb:Q9NHC3	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:20126385|pubmed:DIP-12729S|pubmed:20126385|pubmed:DIP-12729S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-103669E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-49010N|refseq:NP_741019|uniprotkb:P23678	DIP-26340N|refseq:NP_509768|uniprotkb:Q21049	 -	-	-	-	MI:0018(two hybrid)|MI:0055(fluorescent resonance energy transfer)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S|pubmed:19880746|pubmed:DIP-12927S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-104190E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-26650N|refseq:NP_496273|uniprotkb:P54811	DIP-26650N|refseq:NP_496273|uniprotkb:P54811	-	-	-	-	MI:0872(atomic force microscopy)	-	pubmed:24055316|pubmed:DIP-16390S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-132906E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24727N|refseq:NP_491539|uniprotkb:P91349	DIP-24727N|refseq:NP_491539|uniprotkb:P91349	-	-	-	-	MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)|MI:0410(electron tomography)	-	pubmed:25977552|pubmed:DIP-17691S|pubmed:25977552|pubmed:DIP-17691S|pubmed:25977552|pubmed:DIP-17691S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-133123E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-25500N|refseq:NP_492414|uniprotkb:P91870	DIP-24727N|refseq:NP_491539|uniprotkb:P91349	 -	-	-	-	MI:0416(fluorescence microscopy)|MI:0416(fluorescence microscopy)	-	pubmed:25977552|pubmed:DIP-17691S|pubmed:25977552|pubmed:DIP-17691S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-133055E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-25758N|refseq:NP_740775|uniprotkb:Q9N2Z7	DIP-26820N|refseq:NP_498541|uniprotkb:Q21633	 -	-	-	-	MI:0096(pull down)	-	pubmed:19553937|pubmed:DIP-14850S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-139738E	dip-quality-status:core	dip:0004(small scale)		-
DIP-24870N|refseq:NP_492143|uniprotkb:Q17339	DIP-24870N|refseq:NP_492143|uniprotkb:Q17339	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:20223220|pubmed:DIP-14493S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-186300E	dip-quality-status:core	dip:0004(small scale)		-
DIP-58986N|refseq:NP_001023296|uniprotkb:Q9U6Q0	DIP-58986N|refseq:NP_001023296|uniprotkb:Q9U6Q0	-	-	-	-	MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0067(light scattering)	-	pubmed:20139983|pubmed:DIP-14510S|pubmed:20139983|pubmed:DIP-14510S|pubmed:20139983|pubmed:DIP-14510S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-186329E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-58986N|refseq:NP_001023296|uniprotkb:Q9U6Q0	DIP-58987N|refseq:NP_775459|uniprotkb:Q9JI15	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:20139983|pubmed:DIP-14510S	taxid:6239(Caenorhabditis elegans)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-186330E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29154N|uniprotkb:P62149	DIP-58986N|refseq:NP_001023296|uniprotkb:Q9U6Q0	 -	-	-	-	MI:0071(molecular sieving)	-	pubmed:20139983|pubmed:DIP-14510S	taxid:9031(Gallus gallus)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)	MI:0465(dip)	DIP-186331E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59113N|refseq:NP_495003|uniprotkb:Q8IG33	DIP-59113N|refseq:NP_495003|uniprotkb:Q8IG33	-	-	-	-	MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pubmed:21397184|pubmed:DIP-14683S|pubmed:21397184|pubmed:DIP-14683S|pubmed:21397184|pubmed:DIP-14683S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-187080E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-24606N|refseq:NP_507090|uniprotkb:O17793	DIP-24606N|refseq:NP_507090|uniprotkb:O17793	-	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)	-	pubmed:25143115|pubmed:DIP-16909S|pubmed:22884106|pubmed:DIP-15513S|pubmed:21572436|pubmed:DIP-14746S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-187243E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59250N|refseq:NP_496209|uniprotkb:Q20749	DIP-55715N|uniprotkb:Q21691	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20543824|pubmed:DIP-14829S|pubmed:20543824|pubmed:DIP-14829S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-187466E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-31819N|uniprotkb:P14792	DIP-26820N|refseq:NP_498541|uniprotkb:Q21633	 -	-	-	-	MI:0808(comigration in sds page)	-	pubmed:19553937|pubmed:DIP-14850S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0195(covalent binding)	MI:0465(dip)	DIP-187491E	dip-quality-status:core	dip:0004(small scale)		-
DIP-42343N|refseq:NP_491533|uniprotkb:Q9N587	DIP-59288N|uniprotkb:Q7K6X0	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19794415|pubmed:DIP-14855S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-187501E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59403N|refseq:NP_497856|uniprotkb:Q7JMB8	DIP-59404N|refseq:NP_001021711|uniprotkb:Q7K797	 -	-	-	-	MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20921392|pubmed:DIP-15003S|pubmed:20921392|pubmed:DIP-15003S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-187756E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29829N|refseq:NP_003339|uniprotkb:P61088	DIP-26135N|refseq:NP_506709|uniprotkb:Q9XVR6	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0053(fluorescence polarization spectroscopy)	-	pubmed:22367539|pubmed:DIP-15289S|pubmed:22367539|pubmed:DIP-15289S	taxid:9606(Homo sapiens)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-188947E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-59691N|refseq:NP_501363|uniprotkb:O44514	DIP-59690N|uniprotkb:Q10038	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21670305|pubmed:DIP-15316S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189024E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0	DIP-59833N|refseq:NP_741586|uniprotkb:Q8MNV0	-	-	-	-	MI:0067(light scattering)|MI:0071(molecular sieving)|MI:0826(x ray scattering)	-	pubmed:18202664|pubmed:DIP-15477S|pubmed:18202664|pubmed:DIP-15477S|pubmed:18202664|pubmed:DIP-15477S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189570E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-55373N|uniprotkb:Q27497	 -	-	-	-	MI:0047(far western blotting)|MI:0018(two hybrid)|MI:0047(far western blotting)	-	pubmed:22927794|pubmed:DIP-15526S|pubmed:22927794|pubmed:DIP-15526S|pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189668E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-25119N|uniprotkb:P48727	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0018(two hybrid)|MI:0047(far western blotting)	-	pubmed:22927794|pubmed:DIP-15526S|pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189669E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	-	-	-	-	MI:0018(two hybrid)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189670E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-25392N|refseq:NP_491458|uniprotkb:O01820	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189910E	dip-quality-status:core	dip:0004(small scale)		-
DIP-26578N|refseq:NP_505516|uniprotkb:Q20981	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189912E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59881N|refseq:NP_495675|uniprotkb:Q19013	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189913E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59882N|refseq:NP_492559|uniprotkb:O18034	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189915E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59883N|refseq:NP_490917|uniprotkb:Q95XA8	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189916E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59884N|refseq:NP_497778|uniprotkb:Q18494	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189917E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59885N|refseq:NP_001251372|uniprotkb:A9UJN7	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189918E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-26362N|refseq:NP_501078|uniprotkb:Q23472	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189902E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59876N|refseq:NP_741221|uniprotkb:Q8WQE8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189903E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-24997N|refseq:NP_491248|uniprotkb:P91430	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189906E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-25629N|refseq:NP_496970|uniprotkb:Q9U2A0	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189907E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59878N|uniprotkb:Q95XX1	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189908E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59880N|refseq:NP_504461|uniprotkb:O76387	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189911E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-59877N|refseq:NP_500981|uniprotkb:Q95XC8	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189905E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	DIP-24540N|refseq:NP_500799|uniprotkb:Q20305	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189904E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59879N|refseq:NP_499089|uniprotkb:Q03577	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189909E	dip-quality-status:core	dip:0004(small scale)		-
DIP-55471N|uniprotkb:O44749	DIP-59875N|refseq:NP_492566|uniprotkb:Q17604	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22927794|pubmed:DIP-15526S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-189914E	dip-quality-status:core	dip:0004(small scale)		-
DIP-25336N|refseq:NP_493461|uniprotkb:Q9XWG3	DIP-25336N|refseq:NP_493461|uniprotkb:Q9XWG3	-	-	-	-	MI:0114(x-ray crystallography)|MI:0826(x ray scattering)|MI:0071(molecular sieving)	-	pubmed:23104058|pubmed:DIP-15654S|pubmed:23104058|pubmed:DIP-15654S|pubmed:23104058|pubmed:DIP-15654S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-190172E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-60032N|refseq:NP_741074|uniprotkb:G5EF60	DIP-60032N|refseq:NP_741074|uniprotkb:G5EF60	-	-	-	-	MI:0114(x-ray crystallography)|MI:0028(cosedimentation in solution)	-	pubmed:22451904|pubmed:DIP-15697S|pubmed:22451904|pubmed:DIP-15697S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-190258E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-25340N|refseq:NP_498761|uniprotkb:P34529	DIP-26168N|refseq:NP_501018|uniprotkb:O44165	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22179787|pubmed:DIP-16336S|pubmed:22179787|pubmed:DIP-16336S|pubmed:22179787|pubmed:DIP-16336S|pubmed:22179787|pubmed:DIP-16336S|pubmed:22179787|pubmed:DIP-16336S|pubmed:22179787|pubmed:DIP-16336S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-192295E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
