ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-23541N|refseq:NP_476699|uniprotkb:P08646	DIP-19945N|refseq:NP_732773	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45931E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20103N|refseq:NP_610925	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45951E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17668N|refseq:NP_788752	DIP-634N|uniprotkb:P18502	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45921E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-634N|uniprotkb:P18502	DIP-20779N|refseq:NP_726814	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45927E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-23541N|refseq:NP_476699|uniprotkb:P08646	DIP-18640N|refseq:NP_608965	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45928E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22233N|refseq:NP_525047	DIP-23541N|refseq:NP_476699|uniprotkb:P08646	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45933E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27779N	DIP-23541N|refseq:NP_476699|uniprotkb:P08646	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45936E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19890N|refseq:NP_523896	DIP-23541N|refseq:NP_476699|uniprotkb:P08646	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45939E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19986N|refseq:NP_477402	DIP-20085N|refseq:NP_647628	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45947E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19986N|refseq:NP_477402	DIP-19945N|refseq:NP_732773	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45957E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19254N|refseq:NP_477317	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45959E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27860N	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45966E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22233N|refseq:NP_525047	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45969E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-23015N|refseq:NP_524697	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45971E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-23206N|refseq:NP_611551	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45972E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27850N	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45978E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17879N|refseq:NP_608780|uniprotkb:Q9VQQ9	DIP-19199N|refseq:NP_525063|uniprotkb:P48555	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45546E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18752N|refseq:NP_727290	DIP-19890N|refseq:NP_523896	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45645E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18944N|refseq:NP_523909	DIP-19476N|refseq:NP_523922	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45700E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18635N|refseq:NP_649554	DIP-18752N|refseq:NP_727290	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45799E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19099N|refseq:NP_524785	DIP-27882N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45860E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-23843N|refseq:NP_726199	DIP-19890N|refseq:NP_523896	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45887E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27779N	DIP-19986N|refseq:NP_477402	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45964E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18752N|refseq:NP_727290	DIP-23704N|refseq:NP_650781	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45665E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18752N|refseq:NP_727290	DIP-19790N|refseq:NP_724359	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45803E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-21625N|refseq:NP_650902|uniprotkb:P91634	DIP-23541N|refseq:NP_476699|uniprotkb:P08646	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45925E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19986N|refseq:NP_477402	DIP-27777N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45958E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27873N	DIP-28019N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45685E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18752N|refseq:NP_727290	DIP-17681N|refseq:NP_477005|uniprotkb:P48603	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45824E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18752N|refseq:NP_727290	DIP-27866N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-45818E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20846N|refseq:NP_524583|uniprotkb:Q27297	DIP-23227N|refseq:NP_724749	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46311E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27772N	DIP-23878N|refseq:NP_724492	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46358E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17895N|refseq:NP_524349|uniprotkb:P08970	DIP-27772N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46370E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17914N|refseq:NP_523902|uniprotkb:O44783	DIP-5N|refseq:NP_476859|uniprotkb:P07207	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46017E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17718N|refseq:NP_476617	DIP-17914N|refseq:NP_523902|uniprotkb:O44783	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46029E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22328N|refseq:NP_723065	DIP-27883N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46043E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27883N	DIP-17516N|refseq:NP_476739|uniprotkb:P13395	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46044E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20694N|refseq:NP_477172	DIP-18101N|refseq:NP_723072	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46107E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18183N|refseq:NP_524405	DIP-23867N|refseq:NP_648222|uniprotkb:Q9VSJ8	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46158E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-492N|refseq:NP_477499|uniprotkb:P23647	DIP-22550N|refseq:NP_477092|uniprotkb:O16844	 -	-	-	-	MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:18987629|pubmed:DIP-15424S|pubmed:18987629|pubmed:DIP-15424S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-46406E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-18219N|refseq:NP_726234	DIP-20922N|refseq:NP_476568|uniprotkb:P42287	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46487E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20694N|refseq:NP_477172	DIP-20136N|refseq:NP_727526	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46104E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27870N	DIP-19890N|refseq:NP_523896	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46227E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19823N|refseq:NP_651923	DIP-20846N|refseq:NP_524583|uniprotkb:Q27297	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46332E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-20922N|refseq:NP_476568|uniprotkb:P42287	DIP-17636N|refseq:NP_730244	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46482E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27859N	DIP-20922N|refseq:NP_476568|uniprotkb:P42287	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46495E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27883N	DIP-18565N|refseq:NP_523388|uniprotkb:Q00963	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46048E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-22253N|refseq:NP_732007	DIP-23867N|refseq:NP_648222|uniprotkb:Q9VSJ8	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46157E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17601N|refseq:NP_524849	DIP-17914N|refseq:NP_523902|uniprotkb:O44783	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46021E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-17087N|refseq:NP_523413|uniprotkb:Q24564	DIP-20410N|refseq:NP_572495	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46381E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-28026N	DIP-19890N|refseq:NP_523896	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46740E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-18323N|refseq:NP_525099	DIP-27975N	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46523E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-19890N|refseq:NP_523896	DIP-18462N|refseq:NP_524179|uniprotkb:P52304	 -	-	-	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0018(two hybrid)	-	pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S|pubmed:15710747|pubmed:DIP-4167S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-46681E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
